segmentID,segmentInd,Name,,,,,,,,,,,,,,
1,3758,Kansas River,,,,,,,,,,,,,,
1,3943,Kansas River,,,,,,,,,,,,,,
1,4137,Kansas River,,,,,,,,,,,,,,
1,4310,Kansas River,,,,,,,,,,,,,,
1,4501,Kansas River,,,,,,,,,,,,,,
1,4679,Kansas River,,,,,,,,,,,,,,
1,4870,Kansas River,,,,,,,,,,,,,,
1,5054,Kansas River,,,,,,,,,,,,,,
1,5237,Kansas River,,,,,,,,,,,,,,
1,5416,Kansas River,,,,,,,,,,,,,,
1,5595,Kansas River,,,,,,,,,,,,,,
1,5783,Kansas River,,,,,,,,,,,,,,
1,5966,Kansas River,,,,,,,,,,,,,,
1,6141,Kansas River,,,,,,,,,,,,,,
1,6324,Kansas River,,,,,,,,,,,,,,
1,6505,Kansas River,,,,,,,,,,,,,,
7,72,missouri to St. Joseph Kansas,,,,,,,,,,,,,,
7,209,missouri to St. Joseph Kansas,,,,,,,,,,,,,,
7,354,missouri to St. Joseph Kansas,,,,,,,,,,,,,,
7,500,missouri to St. Joseph Kansas,,,,,,,,,,,,,,
7,649,missouri to St. Joseph Kansas,,,,,,,,,,,,,,
7,795,missouri to St. Joseph Kansas,,,,,,,,,,,,,,
7,948,missouri to St. Joseph Kansas,,,,,,,,,,,,,,
7,1101,missouri to St. Joseph Kansas,,,,,,,,,,,,,,
7,1251,missouri to St. Joseph Kansas,,,,,,,,,,,,,,
7,1397,missouri to St. Joseph Kansas,,,,,,,,,,,,,,
7,1543,missouri to St. Joseph Kansas,,,,,,,,,,,,,,
7,1684,missouri to St. Joseph Kansas,,,,,,,,,,,,,,
7,1835,missouri to St. Joseph Kansas,,,,,,,,,,,,,,
8,33,Missorui to Rulo,,,,,,,,,,,,,,
8,94,Missorui to Rulo,,,,,,,,,,,,,,
8,149,Missorui to Rulo,,,,,,,,,,,,,,
8,216,Missorui to Rulo,,,,,,,,,,,,,,
8,283,Missorui to Rulo,,,,,,,,,,,,,,
8,340,Missorui to Rulo,,,,,,,,,,,,,,
8,403,Missorui to Rulo,,,,,,,,,,,,,,
8,463,Missorui to Rulo,,,,,,,,,,,,,,
8,527,Missorui to Rulo,,,,,,,,,,,,,,
8,585,Missorui to Rulo,,,,,,,,,,,,,,
8,648,Missorui to Rulo,,,,,,,,,,,,,,
8,711,Missorui to Rulo,,,,,,,,,,,,,,
8,771,Missorui to Rulo,,,,,,,,,,,,,,
8,836,Missorui to Rulo,,,,,,,,,,,,,,
8,897,Missorui to Rulo,,,,,,,,,,,,,,
8,952,Missorui to Rulo,,,,,,,,,,,,,,
8,1016,Missorui to Rulo,,,,,,,,,,,,,,
8,1077,Missorui to Rulo,,,,,,,,,,,,,,
8,1144,Missorui to Rulo,,,,,,,,,,,,,,
8,1202,Missorui to Rulo,,,,,,,,,,,,,,
8,1270,Missorui to Rulo,,,,,,,,,,,,,,
8,1334,Missorui to Rulo,,,,,,,,,,,,,,
8,1394,Missorui to Rulo,,,,,,,,,,,,,,
8,1458,Missorui to Rulo,,,,,,,,,,,,,,
8,1519,Missorui to Rulo,,,,,,,,,,,,,,
8,1585,Missorui to Rulo,,,,,,,,,,,,,,
8,1641,Missorui to Rulo,,,,,,,,,,,,,,
8,1707,Missorui to Rulo,,,,,,,,,,,,,,
8,1772,Missorui to Rulo,,,,,,,,,,,,,,
8,1833,Missorui to Rulo,,,,,,,,,,,,,,
8,1895,Missorui to Rulo,,,,,,,,,,,,,,
8,1958,Missorui to Rulo,,,,,,,,,,,,,,
8,2015,Missorui to Rulo,,,,,,,,,,,,,,
8,2081,Missorui to Rulo,,,,,,,,,,,,,,
8,2146,Missorui to Rulo,,,,,,,,,,,,,,
8,2206,Missorui to Rulo,,,,,,,,,,,,,,
8,2272,Missorui to Rulo,,,,,,,,,,,,,,
8,2337,Missorui to Rulo,,,,,,,,,,,,,,
8,2394,Missorui to Rulo,,,,,,,,,,,,,,
8,2451,Missorui to Rulo,,,,,,,,,,,,,,
9,73,Missrui DS Kansas City,,,,,,,,,,,,,,
9,201,Missrui DS Kansas City,,,,,,,,,,,,,,
9,340,Missrui DS Kansas City,,,,,,,,,,,,,,
9,474,Missrui DS Kansas City,,,,,,,,,,,,,,
9,609,Missrui DS Kansas City,,,,,,,,,,,,,,
9,745,Missrui DS Kansas City,,,,,,,,,,,,,,
9,894,Missrui DS Kansas City,,,,,,,,,,,,,,
9,1031,Missrui DS Kansas City,,,,,,,,,,,,,,
9,1171,Missrui DS Kansas City,,,,,,,,,,,,,,
9,1309,Missrui DS Kansas City,,,,,,,,,,,,,,
9,1444,Missrui DS Kansas City,,,,,,,,,,,,,,
9,1582,Missrui DS Kansas City,,,,,,,,,,,,,,
9,1721,Missrui DS Kansas City,,,,,,,,,,,,,,
9,1864,Missrui DS Kansas City,,,,,,,,,,,,,,
9,2003,Missrui DS Kansas City,,,,,,,,,,,,,,
9,2152,Missrui DS Kansas City,,,,,,,,,,,,,,
9,2286,Missrui DS Kansas City,,,,,,,,,,,,,,
9,2428,Missrui DS Kansas City,,,,,,,,,,,,,,
9,2567,Missrui DS Kansas City,,,,,,,,,,,,,,
9,2708,Missrui DS Kansas City,,,,,,,,,,,,,,
10,2105,Missorui us St louis,,,,,,,,,,,,,,
10,2221,Missorui us St louis,,,,,,,,,,,,,,
10,2332,Missorui us St louis,,,,,,,,,,,,,,
10,2449,Missorui us St louis,,,,,,,,,,,,,,
10,2573,Missorui us St louis,,,,,,,,,,,,,,
10,2685,Missorui us St louis,,,,,,,,,,,,,,
10,2799,Missorui us St louis,,,,,,,,,,,,,,
10,2930,Missorui us St louis,,,,,,,,,,,,,,
10,3051,Missorui us St louis,,,,,,,,,,,,,,
10,3167,Missorui us St louis,,,,,,,,,,,,,,
10,3282,Missorui us St louis,,,,,,,,,,,,,,
10,3411,Missorui us St louis,,,,,,,,,,,,,,
10,3541,Missorui us St louis,,,,,,,,,,,,,,
10,3669,Missorui us St louis,,,,,,,,,,,,,,
10,3798,Missorui us St louis,,,,,,,,,,,,,,
10,3921,Missorui us St louis,,,,,,,,,,,,,,
10,4026,Missorui us St louis,,,,,,,,,,,,,,
10,4129,Missorui us St louis,,,,,,,,,,,,,,
10,4249,Missorui us St louis,,,,,,,,,,,,,,
10,4376,Missorui us St louis,,,,,,,,,,,,,,
10,4508,Missorui us St louis,,,,,,,,,,,,,,
10,4636,Missorui us St louis,,,,,,,,,,,,,,
10,4759,Missorui us St louis,,,,,,,,,,,,,,
11,141,grand river to missou confluence,,,,,,,,,,,,,,
11,360,grand river to missou confluence,,,,,,,,,,,,,,
11,464,grand river to missou confluence,,,,,,,,,,,,,,
11,564,grand river to missou confluence,,,,,,,,,,,,,,
11,679,grand river to missou confluence,,,,,,,,,,,,,,
11,789,grand river to missou confluence,,,,,,,,,,,,,,
11,888,grand river to missou confluence,,,,,,,,,,,,,,
11,994,grand river to missou confluence,,,,,,,,,,,,,,
11,1098,grand river to missou confluence,,,,,,,,,,,,,,
11,1196,grand river to missou confluence,,,,,,,,,,,,,,
11,1301,grand river to missou confluence,,,,,,,,,,,,,,
11,1409,grand river to missou confluence,,,,,,,,,,,,,,
11,1508,grand river to missou confluence,,,,,,,,,,,,,,
11,1608,grand river to missou confluence,,,,,,,,,,,,,,
11,249,grand river to missou confluence,,,,,,,,,,,,,,
15,72,Missorui to jeff city,,,,,,,,,,,,,,
15,121,Missorui to jeff city,,,,,,,,,,,,,,
15,163,Missorui to jeff city,,,,,,,,,,,,,,
15,209,Missorui to jeff city,,,,,,,,,,,,,,
15,260,Missorui to jeff city,,,,,,,,,,,,,,
15,305,Missorui to jeff city,,,,,,,,,,,,,,
15,353,Missorui to jeff city,,,,,,,,,,,,,,
15,404,Missorui to jeff city,,,,,,,,,,,,,,
15,445,Missorui to jeff city,,,,,,,,,,,,,,
15,492,Missorui to jeff city,,,,,,,,,,,,,,
15,535,Missorui to jeff city,,,,,,,,,,,,,,
15,582,Missorui to jeff city,,,,,,,,,,,,,,
15,627,Missorui to jeff city,,,,,,,,,,,,,,
15,677,Missorui to jeff city,,,,,,,,,,,,,,
15,729,Missorui to jeff city,,,,,,,,,,,,,,
15,780,Missorui to jeff city,,,,,,,,,,,,,,
15,827,Missorui to jeff city,,,,,,,,,,,,,,
15,868,Missorui to jeff city,,,,,,,,,,,,,,
15,915,Missorui to jeff city,,,,,,,,,,,,,,
15,966,Missorui to jeff city,,,,,,,,,,,,,,
16,702,Missou to boonville,,,,,,,,,,,,,,
16,740,Missou to boonville,,,,,,,,,,,,,,
16,780,Missou to boonville,,,,,,,,,,,,,,
16,819,Missou to boonville,,,,,,,,,,,,,,
16,865,Missou to boonville,,,,,,,,,,,,,,
16,909,Missou to boonville,,,,,,,,,,,,,,
16,947,Missou to boonville,,,,,,,,,,,,,,
16,992,Missou to boonville,,,,,,,,,,,,,,
16,1034,Missou to boonville,,,,,,,,,,,,,,
16,1080,Missou to boonville,,,,,,,,,,,,,,
16,1120,Missou to boonville,,,,,,,,,,,,,,
16,1166,Missou to boonville,,,,,,,,,,,,,,
16,1209,Missou to boonville,,,,,,,,,,,,,,
16,1251,Missou to boonville,,,,,,,,,,,,,,
16,1290,Missou to boonville,,,,,,,,,,,,,,
16,1331,Missou to boonville,,,,,,,,,,,,,,
16,1375,Missou to boonville,,,,,,,,,,,,,,
16,1416,Missou to boonville,,,,,,,,,,,,,,
16,1460,Missou to boonville,,,,,,,,,,,,,,
16,1500,Missou to boonville,,,,,,,,,,,,,,
16,1541,Missou to boonville,,,,,,,,,,,,,,
