coarsegrid,mean_from_Landsat,segment_keys
-1000_-1000,669.646288209607,10_3411
100_84,179.56510416666666,88_364
101_85,148.220207253886,88_127
103_42,692.3090909090909,91_1192
103_85,192.5497382198953,101_1531
104_42,659.2920962199313,91_1336
104_85,178.57289002557545,101_1377
105_42,573.3546666666666,91_1479
105_86,306.2329113924051,101_1218
106_86,267.6683937823834,101_1047
107_42,420.035,91_1619
107_86,253.42631578947368,101_964
108_41,558.7919621749409,91_1759
108_85,214.07774798927613,101_882
109_42,390.6870588235294,91_2031
109_43,277.5680751173709,91_2303
111_43,556.9788235294118,91_2444
112_44,301.6872037914692,91_2703
113_45,227.91529411764705,91_2841
114_45,278.0815850815851,91_2976
115_45,250.31742243436753,91_3116
116_45,338.5300925925926,91_3258
117_45,357.1525821596244,91_3537
119_45,215.14788732394365,91_3817
119_46,221.3820754716981,91_3953
120_46,185.63636363636363,91_4092
122_78,182.35955056179776,126_2279
123_78,153.30632911392405,126_2181
124_78,347.9259259259259,126_2080
125_77,272.0,126_1982
125_78,222.35491071428572,126_1879
126_78,237.88453159041396,126_1775
127_78,213.6290672451193,126_1675
128_77,236.59652928416486,126_1569
129_77,274.25596529284167,126_1465
130_77,142.03991130820398,126_1267
131_77,352.5097192224622,126_1164
132_76,272.1244635193133,126_966
133_76,238.13725490196077,126_866
133_87,104.56354916067146,114_2997
134_75,276.5205183585313,126_564
134_86,151.66369710467706,114_2716
135_75,156.55555555555554,126_459
135_85,165.96949891067538,114_2433
136_79,170.55627705627705,114_1285
136_81,185.28478260869565,114_1580
136_83,190.89496717724288,114_2154
137_76,200.42424242424244,114_429
137_77,141.67252747252746,114_712
137_78,115.08695652173913,114_1001
138_75,108.41447368421052,114_145
139_73,344.14285714285717,133_995
139_74,249.4087912087912,133_1239
140_73,354.562091503268,133_957
141_71,221.06843267108167,133_646
141_72,336.3515283842795,133_852
142_71,323.5783664459161,133_577
143_71,364.34285714285716,133_436
144_71,353.86199095022624,133_290
165_37,412.3533834586466,167_11849
167_37,481.96805111821084,167_12323
169_37,320.3941908713693,167_12801
172_37,320.38450074515646,167_13285
175_36,213.17087667161962,167_13769
177_36,339.8086696562033,167_14246
179_62,227.0106707317073,117_6739
181_61,232.5426944971537,117_6423
184_61,259.74089935760173,117_6107
186_36,273.1206636500754,167_15736
186_60,293.68498168498166,117_5784
188_36,198.23116438356163,167_16220
188_60,235.5730769230769,117_5482
190_35,297.29411764705884,167_16706
190_59,218.14285714285714,117_5182
192_56,483.14355231143554,117_4543
193_35,283.30973451327435,167_17181
194_53,336.79493087557603,117_3917
194_54,270.7762557077626,117_4233
196_35,398.9819413092551,167_17658
199_51,381.89732142857144,117_2997
201_49,400.97117516629714,117_2681
202_37,310.43565891472866,167_18609
204_45,259.0508849557522,117_1752
205_44,327.1709956709957,117_1437
206_42,310.03982300884957,117_1125
208_38,567.6785185185186,121_457
208_39,294.35930735930737,117_160
208_41,597.3429203539823,117_495
209_38,511.58024691358025,121_445
210_38,522.9062027231467,121_287
211_38,798.2309985096871,121_85
259_48,285.7057356608479,145_373
259_49,348.43884892086334,145_610
260_51,349.3836930455636,145_837
263_52,535.5560859188544,145_1315
264_52,573.2222222222222,145_1549
266_52,774.0778588807785,145_1796
268_53,594.9240196078431,145_2019
268_54,444.5550122249389,145_2255
269_55,465.73645320197045,145_2482
269_56,589.1292682926829,145_2731
270_57,462.79802955665025,145_2958
279_159,103.23456790123457,75_265
280_159,151.94155844155844,75_391
280_162,94.30532212885154,73_1018
281_159,150.28181818181818,75_547
282_159,87.58133971291866,75_649
282_162,111.38589211618257,73_949
283_160,148.27463312368974,75_868
283_161,152.5190380761523,73_505
284_160,106.81135902636917,75_996
284_161,70.1513353115727,73_295
285_161,60.86290322580645,75_1085
286_161,80.92,73_192
291_143,96.08101851851852,55_2457
293_143,218.03655913978494,55_2167
295_143,244.62231759656652,55_1868
297_143,316.90831556503196,55_1573
299_142,354.4022471910112,55_1284
301_142,197.6283783783784,55_1000
303_141,399.46401985111663,55_713
305_141,325.89895470383277,55_424
305_162,70.15862068965517,56_6217
306_163,129.1198347107438,56_6483
306_170,185.46502057613168,60_3498
307_140,375.1136363636364,55_143
307_171,138.26415094339623,60_3755
308_164,122.756,56_6749
308_172,190.3293556085919,60_4014
309_165,141.32740213523132,56_7014
309_173,121.86097946287519,60_4146
309_174,184.38517441860466,60_4277
310_166,187.5808823529412,56_7279
310_175,144.5140056022409,60_4535
311_175,216.88445078459344,60_4664
311_184,209.125786163522,57_4653
312_176,201.04159132007234,60_4921
313_168,177.90946502057614,56_7822
313_176,91.78467153284672,60_5050
314_169,183.6404958677686,56_8086
315_170,135.13374485596708,56_8341
315_183,214.8596837944664,57_4123
316_142,203.3515625,64_1190
316_171,149.31115459882582,56_8589
317_142,283.65480427046265,64_1326
317_172,138.99221789883268,56_8861
317_175,198.46594005449592,77_619
317_182,245.72286821705427,57_3857
318_142,269.5977653631285,64_1458
318_174,237.69606512890095,77_403
319_142,329.91555555555556,64_1593
319_172,197.52316602316603,56_9123
319_173,214.85006877579093,77_38
319_182,161.548596112311,57_3598
320_142,284.3769063180828,64_1735
320_181,188.49904761904762,57_3339
321_142,385.5913043478261,64_1875
322_142,323.8893709327549,64_2010
322_165,58.76075268817204,68_198
322_180,269.22851153039835,57_3097
323_143,260.45054945054943,64_2145
323_165,87.98823529411764,68_366
323_179,316.86292834890963,57_2857
324_143,405.54901960784315,64_2271
324_166,127.93212669683258,68_591
325_166,124.70253164556962,68_701
325_167,100.00544959128065,68_987
325_177,367.8096885813149,57_2615
326_168,92.30909090909091,68_1384
327_142,1309.3015873015872,69_2108
327_144,87.01006036217304,78_95
327_145,106.49848942598187,78_395
328_142,988.2762557077625,69_2000
329_142,894.1824324324324,69_1891
329_175,268.02,57_1890
330_141,622.4288939051919,69_1752
332_169,160.03669724770643,70_1564
333_169,152.17391304347825,70_1509
333_172,312.1014492753623,57_1159
334_169,122.51295336787565,70_1356
335_168,113.21105527638191,70_992
335_171,218.36199095022624,57_912
336_168,130.1244635193133,70_941
337_169,127.4331797235023,70_741
338_169,112.06611570247934,70_484
339_169,141.1286307053942,70_435
340_170,414.3349753694581,57_397
344_142,727.6136363636364,63_427
345_142,779.4646017699115,63_651
347_142,1243.3173431734317,63_900
347_169,458.40715883668906,61_823
348_142,722.8344370860927,63_981
348_169,565.8511111111111,61_901
349_143,789.6530612244898,63_1286
349_168,477.48660714285717,61_1065
351_143,875.0898305084746,63_1511
351_169,558.7046979865772,61_1337
352_144,683.9560260586319,63_1743
352_160,128.02884615384616,58_5543
352_168,406.1633109619687,61_1516
352_169,331.5022222222222,61_1428
353_144,700.2483974358975,63_1905
353_145,756.6145161290323,63_2128
353_162,146.87922705314008,58_6048
353_169,712.7333333333333,61_1686
354_146,447.98376623376623,63_2267
354_169,309.28146453089244,61_1776
355_147,310.83577235772356,63_2563
355_169,584.4475524475524,61_1862
356_147,312.8529886914378,63_2714
357_147,267.875605815832,63_2790
358_165,112.00347222222223,58_7296
360_151,255.3865414710485,62_819
360_168,106.34020618556701,58_8277
361_152,285.9324546952224,62_971
361_154,293.72439024390246,62_1354
361_174,119.42380952380952,58_9771
362_155,278.72115384615387,62_1579
362_156,283.07377049180326,62_1820
362_173,121.62702702702703,58_9522
364_158,257.6255924170616,62_2214
365_158,283.1367924528302,62_2369
365_159,300.13461538461536,62_2603
365_160,282.84285714285716,62_2832
365_161,269.40776699029124,62_2908
370_177,279.433234421365,84_4855
370_183,232.73265306122448,84_6118
371_178,298.1791483113069,84_5035
371_179,287.94347826086954,84_5392
371_180,268.69838056680163,84_5572
371_182,297.5725971370143,84_5938
371_184,280.11042944785277,84_6293
372_185,573.8640973630831,84_6649
372_186,289.7536231884058,84_6825
372_187,337.13496932515335,84_7007
373_187,319.63449691991786,84_7196
374_188,286.2443064182195,8_2451
374_189,304.69653767820773,8_2337
374_191,405.7148676171079,8_1958
375_190,321.0408163265306,8_2146
375_191,329.5360824742268,8_1772
376_192,361.30721649484536,8_1585
377_193,392.255230125523,8_1334
377_216,234.96311475409837,1_3758
378_193,390.58101851851853,8_1202
378_194,358.0169082125604,8_952
378_216,250.36144578313252,1_3943
379_195,386.5782747603834,8_836
379_196,344.20557491289196,8_648
379_216,336.89494163424126,1_4137
380_197,387.39080459770116,8_340
